"","Time","Site","Collector","Treatment","Species","Control","Count","LifeStage"
"69","Pre","S","KMLC","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"70","Pre","S","KMLC","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"71","Pre","S","KMLC","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"72","Pre","S","KMLC","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"73","Pre","S","KMLC","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"74","Pre","S","KMLC","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"75","Pre","S","KMLC","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"76","Pre","S","KMLC","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",1,"1"
"77","Pre","S","KMLC","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"78","Pre","S","KMLC","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"79","Pre","S","KMLC","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"80","Pre","S","KMLC","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"81","Pre","S","KMLC","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"82","Pre","S","KMLC","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"83","Pre","S","KMLC","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"84","Pre","S","KMLC","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"85","Pre","S","KMLC","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"86","Pre","J","LRB","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"87","Pre","J","LRB","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"88","Pre","J","LRB","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"89","Pre","J","LRB","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"90","Pre","J","LRB","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"91","Pre","J","LRB","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"92","Pre","J","LRB","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"93","Pre","J","LRB","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"94","Pre","J","LRB","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"95","Pre","J","LRB","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"96","Pre","J","LRB","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"97","Pre","J","LRB","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"98","Pre","J","LRB","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"99","Pre","J","LRB","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"100","Pre","J","LRB","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"101","Pre","J","LRB","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"102","Pre","J","LRB","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"103","Pre","Q","KCR","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"104","Pre","Q","KCR","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"105","Pre","Q","KCR","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"106","Pre","Q","KCR","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"107","Pre","Q","KCR","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"108","Pre","Q","KCR","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"109","Pre","Q","KCR","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"110","Pre","Q","KCR","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"111","Pre","Q","KCR","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"112","Pre","Q","KCR","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"113","Pre","Q","KCR","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"114","Pre","Q","KCR","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"115","Pre","Q","KCR","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"116","Pre","Q","KCR","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"117","Pre","Q","KCR","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"118","Pre","Q","KCR","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"119","Pre","Q","KCR","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"120","Pre","T","MAT","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"121","Pre","T","MAT","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"122","Pre","T","MAT","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"123","Pre","T","MAT","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"124","Pre","T","MAT","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"125","Pre","T","MAT","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"126","Pre","T","MAT","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"127","Pre","T","MAT","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",1,"1"
"128","Pre","T","MAT","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"129","Pre","T","MAT","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"130","Pre","T","MAT","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"131","Pre","T","MAT","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"132","Pre","T","MAT","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"133","Pre","T","MAT","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"134","Pre","T","MAT","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"135","Pre","T","MAT","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"136","Pre","T","MAT","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"137","3d","M","KMLC","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"138","3d","M","KMLC","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"139","3d","M","KMLC","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"140","3d","M","KMLC","Bait","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"141","3d","M","KMLC","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"142","3d","M","KMLC","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"143","3d","M","KMLC","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"144","3d","M","KMLC","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"145","3d","M","KMLC","Bait","Heliaula rufa","UNKNOWN",0,"1"
"146","3d","M","KMLC","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"147","3d","M","KMLC","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"148","3d","M","KMLC","Bait","Melanoplus regalis","UNKNOWN",0,"1"
"149","3d","M","KMLC","Bait","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"150","3d","M","KMLC","Bait","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"151","3d","M","KMLC","Bait","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"152","3d","M","KMLC","Bait","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"153","3d","M","KMLC","Bait","Xanthippus corallipes","UNKNOWN",0,"1"
"154","3d","K","LRB","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"155","3d","K","LRB","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"156","3d","K","LRB","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"157","3d","K","LRB","Bait","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"158","3d","K","LRB","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"159","3d","K","LRB","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"160","3d","K","LRB","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"161","3d","K","LRB","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"162","3d","K","LRB","Bait","Heliaula rufa","UNKNOWN",0,"1"
"163","3d","K","LRB","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"164","3d","K","LRB","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
